STT,Category,Name,Price,Image,Summary,Description
1,Thiết bị & gia dụng,MÁY LỌC NƯỚC VILLAEM 2,14775000,https://bizweb.dktcdn.net/thumb/large/100/506/908/products/18ar.png?v=1772245124270,"Tặng 1 năm gói dịch vụ Heart Service trị giá 2,880,000 vnđ khi mua sản phẩm 
Máy lọc nước thông minh theo trường phái tối giản cho cuộc sống hiện đại
Thiết kế trẻ trung, tinh tế cho những gia đình trẻ
4 chế độ nước đáp ứng mọi nhu cầu sử dụng: Nước Nóng – Nước Ấm – Nước Thường – Nước Lạnh
Hệ thống lọc 5 bước tích hợp thông minh trong 4 lõi lọc loại bỏ các tạp chất độc hại theo tiêu chuẩn quốc tế
Lõi lọc RO cao cấp đem lại nguồn nước sạch, tinh khiết
Lõi lọc kháng khuẩn chống lại tái nhiễm khuẩn ngay trong bình chứa nước","Tặng 1 năm gói dịch vụ Heart Service trị giá 2,880,000 vnđ khi mua sản phẩm 
Máy lọc nước thông minh theo trường phái tối giản cho cuộc sống hiện đại
Thiết kế trẻ trung, tinh tế cho những gia đình trẻ
4 chế độ nước đáp ứng mọi nhu cầu sử dụng: Nước Nóng – Nước Ấm – Nước Thường – Nước Lạnh
Hệ thống lọc 5 bước tích hợp thông minh trong 4 lõi lọc loại bỏ các tạp chất độc hại theo tiêu chuẩn quốc tế
Lõi lọc RO cao cấp đem lại nguồn nước sạch, tinh khiết
Lõi lọc kháng khuẩn chống lại tái nhiễm khuẩn ngay trong bình chứa nước
Lấy nước chảy liên tục với thao tác gạt cần đơn giản
Đèn chiếu sáng chỉ dẫn cho thiết bị khi không đủ ánh sáng vào ban đêm sử dụng cảm biến ánh sáng
Lấy nước theo nhiệt độ mong muốn chỉ với một bước xoay chiều đơn giản
Chế độ Tiết kiệm điện (ECO) vào ban đêm
Hiện thị mức nước khi gần hết giúp người dùng dễ nhận biết
Dễ dàng tự vệ sinh với đầu vòi tháo rời
Khóa an toàn tránh bỏng nước nóng, phù hợp với các gia đình có trẻ nhỏ"
2,Mỹ phẩm,Xịt phòng Shay,99000,https://hoaxinhstore.com/assets/img/tbgd_xitphong.jpg,,
3,Mỹ phẩm,Xịt Thơm Vải Idol Hàn Quốc W DRESSROOM 70ML,95000,https://hoaxinhstore.com/assets/img/tbgd_xithom.jpg,,
4,Thiết bị & gia dụng,[COWAY] BA35-A NẮP BỒN CẦU THÔNG MINH BATERI BIDET,7900000,https://hoaxinhstore.com/assets/img/tbgd_napboncau.png,,
5,Thiết bị & gia dụng,[COWAY] MÁY LỌC NƯỚC CORE - CHP-671R,24300000,https://hoaxinhstore.com/assets/img/tbgd_maylocnuoc.png,,
6,Mỹ phẩm,[FREESHIP] Thuốc Nhuộm Tóc Hàn Quốc Lắc Trộn Siêu Nhanh Dạng Gel,380000,https://hoaxinhstore.com/assets/img/mp_thuocnhuomtoc.jpg,,
7,Thiết bị & gia dụng,[COWAY] MÁY LỌC KHÔNG KHÍ CARTRIDGE (P) - AP-1019C,5100000,https://hoaxinhstore.com/assets/img/tbgd_maylockkpink.png,,
8,Mỹ phẩm,Bột Rửa Mặt Hydrogen Enzyme AIRIVE Airy Skin Spa Cleanser 50g (pH Axid nhẹ),790000,https://hoaxinhstore.com/assets/img/mp_suaruamat.jpg,,
9,Thực phẩm,Tinh chất Nghệ Nano Curcumin 365 Premium Hàn Quốc 7680mg,1250000,https://hoaxinhstore.com/assets/img/tp_tinhchatnghe.jpg,,
10,Thiết bị & gia dụng,[COWAY] AP-1008DH MÁY LỌC KHÔNG KHÍ DOLOMITIES,10125000,https://hoaxinhstore.com/assets/img/tbgd_maylockk10tr.png,,
11,Mỹ phẩm,Son Dưỡng Mềm Môi Hương Dâu Enriched Lip Essence Strawberry 8.7g,65000,https://hoaxinhstore.com/assets/img/mp_son.jpg,,
12,Thực phẩm,Thạch Collagen Nghệ Nano Curcumin 365 Premium - Vị Xoài 750g (30 Tuýp/Hộp),495000,https://hoaxinhstore.com/assets/img/tp_thachnghe.jpg,,
13,Mỹ phẩm,"Kem Dưỡng Ẩm, Kem Lót Dầu Cừu Vitamin KICHO Sheep oil cream Lanolin & Berry 65ml",420000,https://hoaxinhstore.com/assets/img/mp_kemduongam.png,,
14,Thiết bị & gia dụng,CAMERA CHỐNG TRỘM CÔNG NGHỆ BLOCKCHAIN HÀN QUỐC,1550000,https://hoaxinhstore.com/assets/img/tbgd_camera.jpg,,
